sample-id	Group	forward-absolute-filepath	reverse-absolute-filepath
SD25	River_Valley	/project/stuckert/jdkoussa/tfinal/data_new/SRR6766202_1.fastq.gz	/project/stuckert/jdkoussa/tfinal/data_new/SRR6766202_2.fastq.gz
SD26	River_Valley	/project/stuckert/jdkoussa/tfinal/data_new/SRR6766203_1.fastq.gz	/project/stuckert/jdkoussa/tfinal/data_new/SRR6766203_2.fastq.gz
SD27	River_Valley	/project/stuckert/jdkoussa/tfinal/data_new/SRR6766204_1.fastq.gz	/project/stuckert/jdkoussa/tfinal/data_new/SRR6766204_2.fastq.gz
SD28	River_Valley	/project/stuckert/jdkoussa/tfinal/data_new/SRR6766205_1.fastq.gz	/project/stuckert/jdkoussa/tfinal/data_new/SRR6766205_2.fastq.gz
SD29	River_Valley	/project/stuckert/jdkoussa/tfinal/data_new/SRR6766206_1.fastq.gz	/project/stuckert/jdkoussa/tfinal/data_new/SRR6766206_2.fastq.gz
SD30	River_Valley	/project/stuckert/jdkoussa/tfinal/data_new/SRR6766207_1.fastq.gz	/project/stuckert/jdkoussa/tfinal/data_new/SRR6766207_2.fastq.gz
SD31	River_Valley	/project/stuckert/jdkoussa/tfinal/data_new/SRR6766208_1.fastq.gz	/project/stuckert/jdkoussa/tfinal/data_new/SRR6766208_2.fastq.gz
SD32	River_Valley	/project/stuckert/jdkoussa/tfinal/data_new/SRR6766209_1.fastq.gz	/project/stuckert/jdkoussa/tfinal/data_new/SRR6766209_2.fastq.gz
SD33	River_Valley	/project/stuckert/jdkoussa/tfinal/data_new/SRR6766210_1.fastq.gz	/project/stuckert/jdkoussa/tfinal/data_new/SRR6766210_2.fastq.gz
SD34	River_Valley	/project/stuckert/jdkoussa/tfinal/data_new/SRR6766211_1.fastq.gz	/project/stuckert/jdkoussa/tfinal/data_new/SRR6766211_2.fastq.gz
